City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
5,Atuona,PF,78.24,light rain,-9.8,-139.0333,Villa Enata
7,Busselton,AU,76.05,broken clouds,-33.65,115.3333,Observatory Guest House
9,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
18,Padang,ID,79.83,broken clouds,-0.9492,100.3543,Mercure Padang
19,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Arraial Do Cabo,BR,75.25,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Rikitea,PF,78.6,light rain,-23.1203,-134.9692,People ThankYou
30,Necochea,AR,72.03,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
33,Lorengau,PG,77.83,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
38,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
41,Yulara,AU,71.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
44,Cravo Norte,CO,83.46,few clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
46,Sao Joao Batista,BR,78.78,scattered clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
47,Carnarvon,AU,87.93,clear sky,-24.8667,113.6333,Hospitality Carnarvon
50,Mapimi,MX,79.57,overcast clouds,25.8167,-103.85,Propiedad Lldm
53,Touros,BR,81.5,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
55,Kavieng,PG,79.7,light rain,-2.5744,150.7967,Nusa Island Retreat
62,Palmerston,AU,82.38,light rain,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
69,San Cristobal,VE,75.38,few clouds,7.7669,-72.225,Pirineos
75,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
76,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
77,Hithadhoo,MV,81.37,clear sky,-0.6,73.0833,Scoop Guest House
81,San Ramon De La Nueva Oran,AR,80.42,moderate rain,-23.1322,-64.326,Hotel Residencial Centro
85,Santa Isabel Do Rio Negro,BR,74.68,moderate rain,-0.4139,-65.0192,Hotel GSA
91,San Patricio,US,73.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
95,Faanui,PF,81.21,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Kiunga,PG,86.27,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
98,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
104,Axim,GH,78.3,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
108,Moerai,PF,79.95,overcast clouds,-22.4333,-151.3333,Le Manotel
109,Sao Filipe,CV,73.69,clear sky,14.8961,-24.4956,Hotel Xaguate
110,Sabang,ID,81.03,clear sky,5.8933,95.3214,Hotel Citra
118,Saint-Philippe,RE,80.19,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
120,Puerto Ayora,EC,74.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Ferkessedougou,CI,70.63,scattered clouds,9.6,-5.2,Hotel Chateau
123,Mahebourg,MU,78.26,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Caucaia,BR,82.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
125,Vila Velha,BR,77.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
126,Deniliquin,AU,71.01,clear sky,-35.5333,144.9667,Riviana Motel
127,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
128,Port Alfred,ZA,73.54,overcast clouds,-33.5906,26.891,The Halyards Hotel
130,Boyuibe,BO,75.7,scattered clouds,-20.4167,-63.2833,Residencial Eluzai
133,Mbandaka,CD,70.95,overcast clouds,0.0487,18.2603,Guest House Epervier
134,Souillac,MU,78.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
135,Kavaratti,IN,79.72,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
136,Vaini,TO,81.16,clear sky,-21.2,-175.2,Keleti Beach Resort
